At gamma =  [5.342967780453938842e+08,5.342967780456326604e+08]
New biggest  [1.056944874555725139e-01,1.057226235540257575e-01]
At gamma =  [5.360626214376792908e+08,5.360626214378736019e+08]
New biggest  [1.068119714693752109e-01,1.068816797460060697e-01]
At gamma =  [5.384106888104530573e+08,5.384106888109347820e+08]
New biggest  [1.037998707079892113e-01,1.038258138845553485e-01]
At gamma =  [5.403817163036001921e+08,5.403817163037793636e+08]
New biggest  [1.051391815604167806e-01,1.051641006290288671e-01]
At gamma =  [5.423052959668219090e+08,5.423052959669939280e+08]
New biggest  [1.096756791789783719e-01,1.097683432595874947e-01]
At gamma =  [5.444024467409707308e+08,5.444024467416112423e+08]
New biggest  [1.057178408489134191e-01,1.058006808076369792e-01]
At gamma =  [5.473149504088793993e+08,5.473149504094519615e+08]
New biggest  [1.069757710823926455e-01,1.070102953786224304e-01]
At gamma =  [5.489729872311285734e+08,5.489729872313671112e+08]
New biggest  [1.067943334464876576e-01,1.068546285107110916e-01]
At gamma =  [5.507900000645143986e+08,5.507900000649309158e+08]
New biggest  [1.031475172802757828e-01,1.031986964254478778e-01]
At gamma =  [5.547798188670452833e+08,5.547798188673989773e+08]
New biggest  [1.049067039593725853e-01,1.049453543324092436e-01]
At gamma =  [5.549013687470287085e+08,5.549013687472956181e+08]
New biggest  [1.045766882509621964e-01,1.046665776119283103e-01]
At gamma =  [5.577037890969321728e+08,5.577037890975534916e+08]
New biggest  [1.065063170430023409e-01,1.065976106270945661e-01]
At gamma =  [5.597240166841096878e+08,5.597240166847406626e+08]
New biggest  [1.030232294259690873e-01,1.030373349738180205e-01]
At gamma =  [5.624104785575690269e+08,5.624104785576663017e+08]
New biggest  [1.054025054060416106e-01,1.054426751259724265e-01]
At gamma =  [5.638389969545394182e+08,5.638389969548166990e+08]
